date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:09	125/125	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2021:26:14%20GMT	https://65c7cb4baa83d.site123.me/robots.txt		(from )
18:26:09	70537/70537	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2020:02:43%20GMT	https://65c7cb4baa83d.site123.me/	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/65c7cb4baa83d.site123.me/index.html	(from )
18:26:10	5049/5049	---MC-	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202024%2010:03:08%20GMT	https://cdn-cms-s.f-static.net/manager/websites/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue.png?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/manager/websites/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blueb781.png	(from https://65c7cb4baa83d.site123.me/)
18:26:10	446161/446161	---MCZ	200	added ('OK')	text/css	etag:%226ced1-6108eac5647c0-gzip%22	https://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/css/minimize_mainb781.css	(from https://65c7cb4baa83d.site123.me/)
18:26:10	338639/338639	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2021:26:15%20GMT	https://static1.s123-cdn-static-a.com/ready_uploads/media/2929090/2000_5e294c6b4848d.jpg	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/static1.s123-cdn-static-a.com/ready_uploads/media/2929090/2000_5e294c6b4848d.jpg	(from https://65c7cb4baa83d.site123.me/)
18:26:11	154523/154523	---MCZ	200	added ('OK')	text/css	date:Sat,%2010%20Feb%202024%2021:26:16%20GMT	https://cdn-cms-s.f-static.net/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=8936276&onlyContent=&tranW=&v=css_y209_47322568	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/versions/2/css/websiteCSSb9b4.css	(from https://65c7cb4baa83d.site123.me/)
18:26:12	11268/11268	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2021:26:17%20GMT	https://static1.s123-cdn-static-a.com/ready_uploads/media/95383/400_5ce7cb6529c28.jpg	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/static1.s123-cdn-static-a.com/ready_uploads/media/95383/400_5ce7cb6529c28.jpg	(from https://65c7cb4baa83d.site123.me/)
18:26:12	73999/73999	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2021:26:16%20GMT	https://static1.s123-cdn-static-a.com/ready_uploads/media/27943/800_5cdd4bdb734fd.jpg	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/static1.s123-cdn-static-a.com/ready_uploads/media/27943/800_5cdd4bdb734fd.jpg	(from https://65c7cb4baa83d.site123.me/)
18:26:12	47533/47533	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2021:26:17%20GMT	https://static1.s123-cdn-static-a.com/ready_uploads/media/7834345/400_602c80337fd54.jpg	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/static1.s123-cdn-static-a.com/ready_uploads/media/7834345/400_602c80337fd54.jpg	(from https://65c7cb4baa83d.site123.me/)
18:26:13	29060/29060	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2021:26:18%20GMT	https://static1.s123-cdn-static-a.com/ready_uploads/media/102591/400_5ce8290c0b72c.jpg	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/static1.s123-cdn-static-a.com/ready_uploads/media/102591/400_5ce8290c0b72c.jpg	(from https://65c7cb4baa83d.site123.me/)
18:26:13	4582/4582	---MC-	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202024%2010:03:23%20GMT	https://cdn-cms-s.f-static.net/files/images/google_map_white_small.png?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/files/images/google_map_white_smallb781.png	(from https://65c7cb4baa83d.site123.me/)
18:26:14	5686/5686	---MC-	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202024%2010:03:23%20GMT	https://cdn-cms-s.f-static.net/files/images/waze_white_small.png?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/files/images/waze_white_smallb781.png	(from https://65c7cb4baa83d.site123.me/)
18:26:14	5821/5821	---MC-	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202024%2010:03:21%20GMT	https://cdn-cms-s.f-static.net/files/images/moovit_white_small.png?v=y83564	C:/Users/Pablo/OneDrive/Escritorio/prueba+/Test/cdn-cms-s.f-static.net/files/images/moovit_white_smallb781.png	(from https://65c7cb4baa83d.site123.me/)
